"cod_ibge","ivs_renda_e_trabalho_quartile","renda_per_capita_quartile","i_gini_quartile","t_analf_15m_quartile","ivs_capital_humano_quartile","t_sem_agua_esgoto_quartile","t_sem_lixo_quartile"
"354990",1,4,4,1,1,3,2
"354995",4,2,3,3,2,4,4
"355000",4,2,3,4,4,3,3
"355010",2,3,3,2,3,2,4
"355020",4,2,4,3,4,4,4
"355030",2,4,4,1,2,3,3
"355040",2,4,3,1,3,3,4
"355050",3,1,1,3,2,2,1
"355060",2,4,4,1,1,4,4
"355070",2,4,4,2,3,4,2
"355080",2,1,2,3,3,3,4
"355090",1,3,3,1,2,3,3
"355100",3,3,3,1,3,3,3
"355110",4,2,4,3,4,3,3
"355120",4,1,2,4,4,1,4
"355130",2,4,2,3,1,1,1
"355140",3,2,3,3,4,4,1
"355160",1,4,3,2,1,3,4
"355150",1,2,1,2,3,2,1
"355170",1,4,3,1,1,2,2
"355180",4,1,4,4,4,4,1
"355190",1,2,2,4,4,1,1
"355200",4,1,3,4,4,2,1
"355210",3,3,2,2,2,4,3
"355220",2,4,4,1,1,2,2
"355230",2,4,4,4,3,2,1
"355240",2,4,3,1,2,2,3
"355255",4,1,2,4,4,4,2
"355250",4,2,3,1,2,4,4
"355260",2,3,1,3,3,2,3
"355270",1,2,1,4,4,2,3
"355280",2,4,3,1,2,3,2
"355290",3,1,1,4,2,3,4
"355300",2,1,1,2,4,2,2
"355310",3,2,2,4,4,2,3
"355320",2,3,2,3,2,3,2
"355330",2,3,3,1,3,2,4
"355340",2,3,2,2,2,3,4
"355350",4,1,2,4,4,4,2
"355360",2,2,1,2,1,4,2
"355365",1,4,4,4,2,2,2
"355370",1,3,3,2,3,2,3
"355380",4,2,3,3,4,3,4
"355385",4,1,2,4,4,4,4
"355390",4,1,1,4,3,3,3
"355395",4,3,4,3,2,2,2
"355400",2,3,3,1,2,3,3
"355410",2,4,4,1,1,2,3
"355420",4,1,3,4,4,4,4
"355430",4,2,3,3,3,3,2
"355440",1,3,3,2,3,2,2
"355450",1,4,3,1,2,2,2
"355460",3,1,3,4,2,2,3
"355465",3,1,1,1,3,4,2
"355470",3,3,3,2,3,2,3
"355475",3,1,1,4,3,2,2
"355480",2,4,4,1,2,4,4
"355490",3,2,2,3,1,2,2
"355495",3,2,1,3,3,4,2
"355500",3,4,4,2,3,2,4
"355510",1,4,4,2,1,2,4
"355520",1,2,1,4,1,2,2
"355530",2,3,1,4,2,3,2
"355535",2,1,1,3,4,3,2
"355540",3,4,4,2,3,4,3
"355550",2,1,2,3,4,2,4
"355560",1,2,1,2,3,2,4
"355570",1,2,1,4,4,2,2
"355580",3,3,3,3,1,2,2
"355590",1,1,1,2,2,2,2
"355600",1,4,2,2,2,2,2
"355610",1,2,1,2,2,2,2
"355620",1,4,4,1,1,3,2
"355630",2,3,3,2,3,4,2
"355635",3,1,1,4,3,4,2
"355640",1,3,2,2,3,2,4
"355645",2,4,4,1,1,3,4
"355650",2,3,1,1,2,2,2
"355660",3,3,3,3,1,2,3
"355670",1,4,4,1,1,2,3
"355680",3,3,1,2,2,2,3
"355690",1,3,1,3,1,2,2
"355695",1,1,1,4,2,2,3
"355700",3,3,1,1,2,2,2
"355710",1,4,4,1,1,2,2
"355715",2,2,1,3,2,2,2
