"cod_ibge","pct_branca","pct_preta","pct_amarela","pct_parda","pct_indigena","Branca_Q","Preta_Q","Amarela_Q","Parda_Q","Indigena_Q","pct_other","Other_Q"
"353630",52.07,9.61,0.08,38.18,0.05,1,4,1,3,2,9.74,4
"353640",47.99,4.25,0.63,47.12,0.01,1,1,3,4,1,4.89,1
"353650",62.92,6.46,1.05,29.52,0.05,3,3,4,2,2,7.56,3
"353657",62.97,4.02,0.14,32.82,0.05,3,1,1,3,2,4.21,1
"353660",48.84,12.01,0.61,38.53,0.01,1,4,3,3,1,12.63,4
"353670",61.63,6.36,0.14,31.82,0.04,3,3,1,2,2,6.54,3
"353680",72.87,2.59,0.37,24.05,0.12,4,1,3,1,4,3.08,1
"353690",70.58,4.38,0.22,24.69,0.14,4,1,2,1,4,4.74,1
"353700",56.68,8.61,0.12,34.51,0.08,2,4,1,3,3,8.81,4
"353710",67.22,4.11,0.13,28.48,0.06,4,1,1,2,2,4.3,1
"353715",68.37,2.67,0.21,28.71,0.04,4,1,2,2,2,2.92,1
"353720",53.34,6.1,1.27,39.1,0.2,2,3,4,3,4,7.57,3
"353730",65.56,4.59,0.82,28.99,0.05,3,2,4,2,2,5.46,2
"353740",43.85,6.73,4.18,45.18,0.06,1,3,4,4,2,10.97,4
"353750",67.04,4.99,0.11,27.69,0.17,4,2,1,1,4,5.27,2
"353760",52.38,7.47,0.87,38.49,0.79,1,4,4,3,4,9.13,4
"353770",53.76,4.64,0.76,40.71,0.13,2,2,3,4,4,5.53,2
"353780",71.67,2.41,2.24,23.64,0.04,4,1,4,1,2,4.69,1
"353790",65.06,3.31,3.01,28.59,0.04,3,1,4,2,2,6.36,3
"353800",60.36,6.44,0.67,32.45,0.07,2,3,3,2,3,7.18,3
"353810",68.71,3.67,0.18,27.4,0.04,4,1,1,1,2,3.89,1
"353820",75.72,3.63,0.39,20.22,0.03,4,1,3,1,1,4.05,1
"353830",52.57,4.87,0.43,42.13,NA,1,2,3,4,NA,NA,NA
"353850",62.11,7.54,0.13,30.14,0.09,3,4,1,2,3,7.76,3
"353860",66.05,4.83,1.11,27.89,0.12,3,2,4,2,4,6.06,2
"353870",64.27,7.87,0.49,27.28,0.08,3,4,3,1,3,8.44,4
"353880",78.53,3.18,0.4,17.82,0.06,4,1,3,1,2,3.64,1
"353890",60.87,6.79,0.44,31.83,0.08,2,3,3,2,3,7.31,3
"353900",70.75,3.76,0.18,25.29,0.02,4,1,1,1,1,3.96,1
"353910",41.31,9.9,0.27,48.33,0.19,1,4,2,4,4,10.36,4
"353920",51.55,6.54,1.81,39.97,0.12,1,3,4,4,4,8.47,4
"353930",68.08,5.83,0.3,25.7,0.08,4,3,2,1,3,6.21,2
"353940",69.54,4.91,0.93,24.49,0.13,4,2,4,1,4,5.97,2
"353950",52.25,7.2,0.12,40.38,0.05,1,4,1,4,2,7.37,3
"353960",53.27,5.54,0.36,40.67,0.11,2,2,2,4,4,6.01,2
"353970",60.96,5.26,0.33,33.39,0.07,2,2,2,3,3,5.66,2
"353980",49.2,11.74,0.5,38.47,0.08,1,4,3,3,3,12.32,4
"353990",62.64,6.38,0.2,30.69,0.09,3,3,2,2,3,6.67,3
"354000",54.79,5.93,2.4,36.78,0.1,2,3,4,3,3,8.43,4
"354010",75.96,3.03,0.21,20.74,0.06,4,1,2,1,2,3.3,1
"354020",41.13,9.63,0.09,49.07,0.07,1,4,1,4,3,9.79,4
"354025",48.19,8.82,0.1,42.89,NA,1,4,1,4,NA,NA,NA
"354030",58.53,6.24,0.5,34.73,NA,2,3,3,3,NA,NA,NA
"354040",59.85,6.37,0.32,33.46,NA,2,3,2,3,NA,NA,NA
"354050",69.31,4.76,0.24,25.66,0.03,4,2,2,1,1,5.03,1
"354060",64.48,6.98,0.33,28.19,0.02,3,4,2,2,1,7.33,3
"354070",61.97,6.68,0.1,31.21,0.04,3,3,1,2,2,6.82,3
"354075",54.85,6.61,0.14,38.33,0.05,2,3,1,3,2,6.8,3
"354080",69.36,3.14,0.21,27.23,0.08,4,1,2,1,3,3.43,1
"354085",39.64,10.98,0.12,49.26,NA,1,4,1,4,NA,NA,NA
"354090",58.39,5.26,0.07,36.26,0.02,2,2,1,3,1,5.35,2
"354100",52.1,9.17,0.51,38.06,0.15,1,4,3,3,4,9.83,4
"354105",57.04,6.52,0.2,36.13,0.12,2,3,2,3,4,6.84,3
"354110",61.57,6.28,0.13,31.94,0.08,3,3,1,2,3,6.49,3
"354120",60.94,5.46,1.55,32.01,0.04,2,2,4,2,2,7.05,3
"354130",46.56,6.55,1.21,45.57,0.1,1,3,4,4,3,7.86,4
"354140",59.25,6.42,2.49,31.75,0.09,2,3,4,2,3,9,4
"354150",55.58,5.18,2.06,37.14,0.03,2,2,4,3,1,7.27,3
"354160",58.75,4.86,1.22,35.15,0.02,2,2,4,3,1,6.1,2
"354165",66.81,4.35,0.5,27.87,0.47,3,1,3,2,4,5.32,2
"354170",52.12,5.85,0.21,41.8,0.02,1,3,2,4,1,6.08,2
"354180",39.51,5.64,0.15,54.67,0.03,1,3,1,4,1,5.82,2
"354190",56.93,6.95,0.12,35.93,0.07,2,4,1,3,3,7.14,3
"354200",52.53,6.28,1.07,40,0.13,1,3,4,4,4,7.48,3
"354210",64.87,7.24,0.17,27.69,0.02,3,4,1,1,1,7.43,3
"354220",57.91,5.05,0.93,36.03,0.07,2,2,4,3,3,6.05,2
"354230",66.96,3.96,0.45,28.62,0.02,4,1,3,2,1,4.43,1
"354240",57.72,5.07,1.67,35.49,0.04,2,2,4,3,2,6.78,3
"354250",60.05,6.53,0.13,33.27,0.03,2,3,1,3,1,6.69,3
"354260",53.03,5.16,3.36,38.33,0.13,2,2,4,3,4,8.65,4
"354270",52.78,7.28,0.16,39.74,0.05,2,4,1,4,2,7.49,3
"354280",43.84,4.41,0.06,51.69,NA,1,2,1,4,NA,NA,NA
"354290",50.7,10.35,0.33,38.55,0.08,1,4,2,3,3,10.76,4
"354300",60.7,3.03,0.41,35.75,0.1,2,1,3,3,4,3.54,1
"354310",45.31,11.37,0.41,42.8,0.11,1,4,3,4,4,11.89,4
"354320",75.39,3.63,0.28,20.7,NA,4,1,2,1,NA,NA,NA
"354323",60.44,3.16,0.05,36.35,NA,2,1,1,3,NA,NA,NA
"354325",70.66,1.65,0.39,27.23,0.07,4,1,3,1,3,2.11,1
"354330",56.68,7.21,0.99,34.94,0.17,2,4,4,3,4,8.37,4
"354340",63.64,8.04,0.79,27.44,0.09,3,4,4,1,3,8.92,4
"354350",68.58,2.75,0.11,28.52,0.04,4,1,1,2,2,2.9,1
"354360",64.86,4.45,0.05,30.62,0.02,3,2,1,2,1,4.52,1
"354370",55.87,7.09,0.27,36.73,0.03,2,4,2,3,1,7.39,3
"354380",56.36,3.83,1.25,38.5,0.04,2,1,4,3,2,5.12,2
"354390",67.64,6.58,0.39,25.32,0.06,4,3,3,1,2,7.03,3
"354400",57.02,6.52,0.12,36.3,0.04,2,3,1,3,2,6.68,3
"354410",42.84,10.72,0.4,45.94,0.1,1,4,3,4,4,11.22,4
"354420",42.86,7.93,0.82,48.36,0.03,1,4,4,4,1,8.78,4
"354425",44.1,6.8,0.56,48.33,0.21,1,3,3,4,4,7.57,3
"354430",57.37,5.28,0.31,36.98,0.06,2,2,2,3,2,5.65,2
"354440",48.7,5.41,0.85,44.63,0.41,1,2,4,4,4,6.67,3
"354450",57.92,4.44,0.91,36.73,NA,2,2,4,3,NA,NA,NA
"354460",61.87,3.54,0.29,34.25,0.04,3,1,2,3,2,3.87,1
"354470",44.54,6.02,0.77,48.5,0.16,1,3,4,4,4,6.95,3
"354480",66.49,3.78,0.09,29.61,0.03,3,1,1,2,1,3.9,1
"354490",71.37,4.23,0.3,24.07,0.03,4,1,2,1,1,4.56,1
"354500",74.79,2.6,0.7,21.89,0.03,4,1,3,1,1,3.33,1
"354510",42.6,5.62,0.17,51.62,NA,1,3,1,4,NA,NA,NA
