cod_ibge,nome_municipio,n_years,hosp_0_14_total,poison_0_14_total,hosp_pest_0_14_total,poison_pest_0_14_total,pop_0_14_person_years,pop_0_14_mean_annual,pop_0_14_2024,hosp_rate_0_14_per100k_yr,poison_rate_0_14_per100k_yr,hosp_pest_rate_0_14_per100k_yr,poison_pest_rate_0_14_per100k_yr
355400,Tatuí,11,11,96,0,7,287470,26134,25794,3.83,33.39,0,2.44
352530,Jaú,11,231,177,0,9,286847,26077,24100,80.53,61.71,0,3.14
355650,Várzea Paulista,11,17,91,0,2,279956,25451,24156,6.07,32.51,0,0.71
350330,Araras,11,19,166,0,9,273739,24885,24593,6.94,60.64,0,3.29
350550,Barretos,11,88,209,0,18,261164,23742,23529,33.7,80.03,0,6.89
352210,Itanhaém,11,14,193,0,13,260805,23710,23105,5.37,74,0,4.98
353980,Poá,11,15,145,0,6,257030,23366,20853,5.84,56.41,0,2.33
352340,Itatiba,11,18,54,0,3,252551,22959,23235,7.13,21.38,0,1.19
351840,Guaratinguetá,11,22,129,0,11,251143,22831,22162,8.76,51.37,0,4.38
350650,Birigui,11,32,278,0,29,249771,22706,22473,12.81,111.3,0,11.61
354330,Ribeirão Pires,11,6,212,0,13,248226,22566,20878,2.42,85.41,0,5.24
355620,Valinhos,11,18,198,0,13,245584,22326,22344,7.33,80.62,0,5.29
353650,Paulínia,11,37,401,1,8,245305,22300,22866,15.08,163.47,0.41,3.26
353470,Ourinhos,11,89,130,1,14,236311,21483,20019,37.66,55.01,0.42,5.92
351110,Catanduva,11,34,324,0,17,236020,21456,20796,14.41,137.28,0,7.2
352240,Itapeva,11,41,80,0,4,228267,20752,18972,17.96,35.05,0,1.75
350900,Caieiras,11,13,92,0,4,227784,20708,19417,5.71,40.39,0,1.76
352670,Leme,11,38,24,1,3,227664,20697,19320,16.69,10.54,0.44,1.32
350920,Cajamar,11,28,135,0,3,222577,20234,21704,12.58,60.65,0,1.35
350850,Caçapava,11,13,60,0,7,218645,19877,19634,5.95,27.44,0,3.2
355540,Ubatuba,11,41,159,0,8,216654,19696,19630,18.92,73.39,0,3.69
352850,Mairiporã,11,42,132,0,6,214431,19494,19677,19.59,61.56,0,2.8
350400,Assis,11,37,122,0,6,213473,19407,18858,17.33,57.15,0,2.81
350450,Avaré,11,23,169,0,37,209521,19047,18933,10.98,80.66,0,17.66
350390,Arujá,11,13,151,0,3,209097,19009,18382,6.22,72.22,0,1.43
355070,São Sebastião,11,10,126,0,4,206108,18737,17884,4.85,61.13,0,1.94
352720,Lorena,11,8,114,0,10,194491,17681,16594,4.11,58.61,0,5.14
353080,Mogi Mirim,11,22,157,0,15,191961,17451,16880,11.46,81.79,0,7.81
350960,Campo Limpo Paulista,11,11,162,0,4,188136,17103,15919,5.85,86.11,0,2.13
355710,Votuporanga,11,63,279,1,8,187539,17049,17923,33.59,148.77,0.53,4.27
351970,Ibiúna,11,28,31,0,3,187051,17005,16063,14.97,16.57,0,1.6
354910,São João da Boa Vista,11,12,224,0,18,181548,16504,16470,6.61,123.38,0,9.91
355060,São Roque,11,11,32,0,1,179147,16286,15482,6.14,17.86,0,0.56
351340,Cruzeiro,11,24,148,0,9,172372,15670,14265,13.92,85.86,0,5.22
351510,Embu-Guaçu,11,43,280,0,17,170118,15465,14479,25.28,164.59,0,9.99
352930,Matão,11,31,19,0,0,163455,14860,13985,18.97,11.62,0,0
350610,Bebedouro,11,6,246,0,24,163359,14851,14308,3.67,150.59,0,14.69
352400,Itupeva,11,14,91,0,6,162637,14785,16429,8.61,55.95,0,3.69
353760,Peruíbe,11,11,46,0,2,161170,14652,13675,6.83,28.54,0,1.24
350635,Bertioga,11,21,103,0,9,160863,14624,14707,13.05,64.03,0,5.59
355670,Vinhedo,11,10,184,0,10,158345,14395,14552,6.32,116.2,0,6.32
353930,Pirassununga,11,40,88,0,9,157479,14316,13745,25.4,55.88,0,5.72
352710,Lins,11,34,75,0,7,156518,14229,14023,21.72,47.92,0,4.47
353180,Monte Mor,11,10,65,0,3,153925,13993,14719,6.5,42.23,0,1.95
352680,Lençóis Paulista,11,12,74,0,3,150946,13722,13195,7.95,49.02,0,1.99
352430,Jaboticabal,11,23,19,1,1,148425,13493,12421,15.5,12.8,0.67,0.67
354260,Registro,11,22,69,0,9,144495,13136,12413,15.23,47.75,0,6.23
351280,Cosmópolis,11,5,64,0,3,143417,13038,11798,3.49,44.63,0,2.09
353050,Mococa,11,89,294,1,16,142374,12943,12080,62.51,206.5,0.7,11.24
352260,Itapira,11,33,120,0,9,140828,12803,12665,23.43,85.21,0,6.39
351550,Fernandópolis,11,38,277,0,20,137640,12513,12814,27.61,201.25,0,14.53
350700,Boituva,11,20,37,0,1,137566,12506,12646,14.54,26.9,0,0.73
